Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Korn and Klug 2002;Petteroceras errans;;Fig.136.A;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;54;41,5;14,7;13,7;21,9;12,5;0,41;0,27;1,69;0,63;0,43
Bockwinkel et al 2013 Fossil Record;Petteroceras errans;;MB.C.22133.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;32,6;24,2;10,3;11,1;13,3;8,4;0,34;0,32;1,82;0,84;0,36
Bockwinkel et al 2013 Fossil Record;Petteroceras errans;;MB.C.22133.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;24,2;18,5;9,4;9,9;9;5,6;0,41;0,39;1,7;1,11;0,37
Bockwinkel et al 2013 Fossil Record;Petteroceras errans;;MB.C.22133.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;18,5;14,5;8,4;8,7;5,8;4;0,47;0,46;1,63;1,49;0,31
Bockwinkel et al 2013 Fossil Record;Petteroceras errans;;MB.C.22133.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;14,5;11,8;7,3;7,9;4,1;2,7;0,54;0,5;1,52;1,93;0,33
Bockwinkel et al 2013 Fossil Record;Petteroceras errans;;MB.C.22133.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;11,8;9,5;7,3;6,5;3,1;2,3;0,55;0,62;1,54;2,06;0,27
Bockwinkel et al 2013 Fossil Record;Petteroceras errans;;MB.C.22133.3.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;9,5;8;5;4,1;2;1,5;0,43;0,53;1,41;2,07;0,24
Bockwinkel et al 2015 NJGPA;Petteroceras angustum;;MB.C.25113;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Bockwinkel et al. 2015;Givetian;late Givetian;Petteroceras errans;Interval 7;20,2;15,2;5,9;8,6;8,1;5,1;0,43;0,29;1,78;1,06;0,37
Bockwinkel et al 2013 Fossil Record;Meropharciceras disciforme;;STIPB-Bensaid-53;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;55;36,8;3;14,6;32;18,2;0,27;0,05;2,23;0,46;0,43
Bockwinkel et al 2013 Fossil Record;Meropharciceras disciforme;;MB.C.22129.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;16;12,1;2,9;7,9;7,7;3,9;0,49;0,18;1,75;1,03;0,49
Bockwinkel et al 2013 Fossil Record;Meropharciceras disciforme;;MB.C.22129.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;12,9;10,1;2,8;6,8;5,7;2,8;0,52;0,21;1,62;1,19;0,51
Bockwinkel et al 2013 Fossil Record;Meropharciceras disciforme;;MB.C.22129.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;9,3;7,2;2,6;5,5;4;2,1;0,59;0,28;1,67;1,38;0,48
Bockwinkel et al 2013 Fossil Record;Meropharciceras disciforme;;MB.C.22129.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;5,4;4,2;1,9;3,4;2;1,2;0,63;0,35;1,65;1,7;0,4
Bockwinkel et al 2013 Fossil Record;Meropharciceras disciforme;;MB.C.22129.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;4,2;3,2;1,6;2,5;1,5;1;0,6;0,38;1,72;1,67;0,33
Bockwinkel et al 2013 Fossil Record;Meropharciceras disciforme;;MB.C.22129.3.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;3,2;2,4;1,3;2;1,1;0,8;0,63;0,41;1,78;1,82;0,27
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;71,7;48,2;3,9;20,8;40,9;23,5;0,29;0,05;2,21;0,51;0,43
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;48,2;33,4;3,1;16,4;26,9;14,8;0,34;0,06;2,08;0,61;0,45
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;33,4;23,6;2,3;13,5;18,3;9,8;0,4;0,07;2;0,74;0,46
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;23,6;16,8;2,2;11,2;12,8;6,8;0,47;0,09;1,97;0,88;0,47
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;16,9;12,4;2,1;9,4;8,7;4,5;0,56;0,12;1,85;1,08;0,49
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;12,4;9,3;2;8;6,1;3,1;0,65;0,16;1,78;1,31;0,49
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;9,3;6,9;2;6,8;4;2,4;0,73;0,22;1,82;1,69;0,4
Bockwinkel et al 2009 Berliner pal Abh;Synpharciceras clavilobum;;MB.C.19118.3.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;6,9;5,2;1,6;5,4;3;1,7;0,78;0,23;1,76;1,8;0,43
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;19,5;14,3;7,5;6,7;6,8;5,2;0,34;0,38;1,86;0,99;0,24
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;14,8;11;6,2;5,5;5,4;3,8;0,37;0,42;1,8;1,03;0,3
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;10,6;8,2;4,7;3,9;3,3;2,4;0,37;0,44;1,67;1,18;0,27
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;8,4;6,3;3,8;3,4;2,7;2,1;0,4;0,45;1,76;1,28;0,23
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;6,5;4,8;2,9;2,8;2,2;1,6;0,44;0,44;1,79;1,31;0,25
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras praecox ;;MB.C.22135.4.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;18,6;11,6;4,4;6,2;8,9;7;0,33;0,24;2,57;0,7;0,21
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras praecox ;;MB.C.22135.4.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;11,7;7,7;3,1;4,6;5,2;4,1;0,39;0,27;2,33;0,88;0,22
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras praecox ;;MB.C.22135.4.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;7,6;5,1;2,2;3,5;3,3;2,5;0,46;0,29;2,22;1,06;0,24
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras praecox ;;MB.C.22135.4.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5;3,7;1,7;2,7;2,3;1,4;0,54;0,33;1,87;1,17;0,41
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras praecox ;;MB.C.22135.4.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;3,7;2,7;1,3;2;1,4;1;0,54;0,35;1,88;1,43;0,29
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;23,9;16,2;7,4;7,3;9,8;7,7;0,31;0,31;2,18;0,75;0,21
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;16,8;11,4;5,4;5,8;6,9;5,4;0,34;0,32;2,17;0,83;0,22
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;11;7,6;4;4,1;4,2;3,4;0,37;0,36;2,09;0,97;0,19
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;8;5,6;3,4;3,3;2,9;2,4;0,42;0,42;2,02;1,17;0,17
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,6;4,2;2,5;2,4;1,9;1,4;0,42;0,45;1,78;1,27;0,24
Bockwinkel et al 2013 Fossil Record;Darkaoceras velox;;MB.C.22105.4.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;17,8;11,5;4;6,9;8,6;6,3;0,39;0,22;2,4;0,8;0,27
Bockwinkel et al 2013 Fossil Record;Darkaoceras velox;;MB.C.22105.4.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;12;8;3,3;5,4;5,3;3,9;0,45;0,27;2,22;1,02;0,25
