Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Korn and Klug 2002;Petteroceras errans;;Fig.136.A;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;Petteroceras errans - Fig.136.A - wh(21.9 mm) - Korn and Klug 2002;21,9
Bockwinkel et al 2013;Petteroceras errans;;MB.C.22133.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;Petteroceras errans - MB.C.22133.3.whorl1 - wh(13.3 mm) - Bockwinkel 2013;13,3
Bockwinkel et al 2013;Petteroceras errans;;MB.C.22133.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;Petteroceras errans - MB.C.22133.3.whorl2 - wh(9.0 mm) - Bockwinkel 2013;9
Bockwinkel et al 2013;Petteroceras errans;;MB.C.22133.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;Petteroceras errans - MB.C.22133.3.whorl3 - wh(5.8 mm) - Bockwinkel 2013;5,8
Bockwinkel et al 2013;Petteroceras errans;;MB.C.22133.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;Petteroceras errans - MB.C.22133.3.whorl4 - wh(4.1 mm) - Bockwinkel 2013;4,1
Bockwinkel et al 2013;Petteroceras errans;;MB.C.22133.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Petter 1959;Givetian;late Givetian;Petteroceras errans;Interval 7;Petteroceras errans - MB.C.22133.3.whorl5 - wh(3.1 mm) - Bockwinkel 2013;3,1
Bockwinkel et al 2013;Petteroceras angustum;; MB.C.25113;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Petteroceras;Bogoslovsky 1962;Bockwinkel et al. 2015;Givetian;late Givetian;Petteroceras errans;Interval 7;Petteroceras angustum - MB.C.25113 - wh(12.6 mm) - Bockwinkel 2015;12,6
D. Korn;Meropharciceras disciforme;;Merodisc1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;Meropharciceras disciforme - Merodisc1 - wh(XX mm) - D. Korn;XX
Bockwinkel et al 2013;Meropharciceras disciforme;;MB.C.22129.2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;Meropharciceras disciforme - MB.C.22129.2 - wh(13.2 mm) -  Bockwinkel 2013;13,2
Bockwinkel et al 2013;Meropharciceras disciforme;;MB.C.22129.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;Meropharciceras disciforme - MB.C.22129.1.whorl1 - wh(8.4 mm) -  Bockwinkel 2013;8,4
Bockwinkel et al 2013;Meropharciceras disciforme;;MB.C.22129.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;Meropharciceras disciforme - MB.C.22129.1.whorl2 - wh(5.7 mm) -  Bockwinkel 2013;5,7
Bockwinkel et al 2013;Meropharciceras disciforme;;MB.C.22129.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;Meropharciceras disciforme - MB.C.22129.1.whorl3 - wh(3.8 mm) -  Bockwinkel 2013;3,8
Bockwinkel et al 2013;Meropharciceras disciforme;;MB.C.22129.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Meropharciceras;Becker and House 1993;Bensaid 1974;Givetian;late Givetian;Petteroceras errans;Interval 7;Meropharciceras disciforme - MB.C.22129.1.whorl4 - wh(3.0 mm) -  Bockwinkel 2013;3
Bockwinkel et al 2009;Synpharciceras clavilobum;;MB.C.19118.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Synpharciceras clavilobum - MB.C.19118.3.whorl1 - wh(40.9mm) - Bockwinkel 2009;40,9
