Species;Biozone
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras angustum;Petteroceras errans
Petteroceras angustum;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Meropharciceras disciforme;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Petteroceras errans;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Synpharciceras clavilobum;Petteroceras errans
Petteroceras errans;Petteroceras errans
Ponticeras kayseri;Petteroceras errans
Lunupharciceras lunulicosta;Petteroceras errans
Lunupharciceras lunulicosta;Petteroceras errans
Lunupharciceras lunulicosta;Petteroceras errans
Lunupharciceras lunulicosta;Petteroceras errans
