"","SOV","SOV_upCI","SOV_loCI","SOR","SOR_upCI","SOR_loCI","Centroid_dist","upCI_cdist","loCI_cdist","Pairwise_dist","upCI_mID","loCI_mID","CH_Area_biozones","upCI_CHA_biozones","loCI_CHA_biozones","Position","upCI","loCI"
"Praechebbites debaetsi ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Erbenoceras advolvens - Metabactrites formosus",0.0104903105278925,0.0165198067353482,0.00106470163144659,0.639223642422776,0.639223642422776,0.181196291586174,0.00839224842231396,0.0139332476996317,0.000936204748726197,0.129286562718956,0.155693024800068,0.0381695604537642,0.00322372053431387,0.00322372053431387,0,0.661269856270648,0.712123046501329,0.600210227190129
"Anetoceras obliquecostatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Klugites gesinae",0.0521860145458904,0.0605629738546481,0.000667346531068064,0.995840496931322,0.995840496931322,0.158397954295185,0.0391395109094178,0.0454222303909861,0.000500509898301048,0.282401685026093,0.292136127606642,0.0258330511374105,0.00702030560062345,0.00702030560062345,0,0.798947407013715,0.949406946886126,0.657366705243137
"Mimosphinctes karltschanzi - Mimagoniatites fecundus",0.033139941986632,0.0526337395514271,0.00519668284618498,0.979860256053538,0.976510346918796,0.410430866364876,0.0284056645599703,0.0457247808302897,0.00673407105626245,0.222771196200389,0.265436861738809,0.0996814587988109,0.0138926955593981,0.0138926955593981,0.00099817994905465,0.395392527313737,0.488473223459273,0.331873942338209
"Gyroceratites gracilis",0.0481373009306316,0.0481373009306316,0,0.651074093413566,0.651074093413566,0,0.0240686504653158,0.0240686504653158,0,0.310281488105983,0.310281488105983,0,0,0,0,0.642098724724837,0.740258542894558,0.569856240808839
"Latanarcestes noeggerathi",0.0650683871072713,0.105292201303785,0.0257313828023251,1.91100785543336,1.90282727882389,1.08692019730117,0.0618149677519078,0.100265755468262,0.0248291257090984,0.300635514255832,0.379473520202148,0.195889044567667,0.206896842528205,0.206896842528205,0.0629964145104824,0.0968314445344052,0.196933191459959,0.0343828273173053
"Sellanarcestes wenkenbachi",0.0664315692322759,0.0818297113281009,0.0522117803913617,2.5676785197491,2.54766440862368,2.15521183242081,0.0658958307707253,0.0817651347157846,0.0509001224048729,0.311947896626807,0.344857065641101,0.275422243465249,0.408359026527546,0.405959413666575,0.301136233870682,0.0790893338189734,0.120142590740483,0.0425859360148522
"Anarcestes lateseptatus 1",0.0923301381512713,0.114182034753335,0.0638966112231093,2.05749190477119,2.04156081685222,1.79892550811863,0.0900781835622159,0.110581915305732,0.0647092268798731,0.371539640093266,0.409528511829681,0.310662737209536,0.265152325817666,0.264392933914249,0.175462053083214,0.114318627299419,0.167389060000008,0.0868135122013341
"Anarcestes lateseptatus 2",0.084448989834867,0.109545486408557,0.0523763247000158,2.02404752526034,2.00864973582095,1.71902628250114,0.0819651960161945,0.106772298168583,0.0531722588274093,0.34776333335043,0.39392121206127,0.273472434334744,0.207344336521185,0.206584944617768,0.128986578616012,0.15553922750026,0.207569193264646,0.12774574000641
"Foordites veniens",0.0951979773863999,0.12481297771226,0.0616362924587845,2.63797730952858,2.62698625330394,1.78221758019892,0.0923131901928727,0.118261440153268,0.0623256850273494,0.387196009482624,0.433632005135345,0.315869997279167,0.480503005261429,0.480503005261429,0.18924059827396,0.163389530457045,0.237524387776416,0.090702369663348
"Pinacites jugleri",0.0842340404936085,0.104653687096665,0.0579864051714316,2.3447191596558,2.31697079389126,1.87934599724732,0.0817565687143847,0.100552242834948,0.0590442539271652,0.36381649690764,0.400467466949743,0.305239226917934,0.300138035780016,0.298967568960196,0.199645230398544,0.221377764825244,0.309304614337987,0.147870513797654
"Subanarcestes macrocephalus",0.0977816856746017,0.123354912987368,0.0696846358775568,2.48946647257947,2.4599625725493,2.03835450295351,0.096095794542281,0.120704895460196,0.0677767533460774,0.373256815600229,0.416057891072334,0.310840314570584,0.236037112946468,0.236037112946468,0.170612227343109,0.0218630532148597,0.0925476143559505,0.0220474693902797
"Cabrieroceras crispiforme",0.144096691450413,0.172431713710798,0.105983102274039,2.63990734623054,2.60661393170302,2.35548134357661,0.141879819274253,0.169383234864791,0.108557192042548,0.449902889113097,0.489950240993396,0.388298121450393,0.237947794193736,0.236562548422098,0.1889715432666,0.0476961489297737,0.120488954080154,0.0331002007073488
"Cabrieroceras housei",0.146345549781681,0.175944460557702,0.113543470452663,2.78354104125612,2.75907306414493,2.48391991590284,0.14431297270138,0.172110613377611,0.11208014738482,0.455297601495284,0.496120426495498,0.394496037158634,0.313300919055301,0.312265162190672,0.231526058775106,0.0361202733537503,0.104226442215237,0.0294898745692358
"Agoniatites expansus",0.0761293219128509,0.093531947637798,0.0538038426283785,2.14105787951673,2.11858180739167,1.90293422984009,0.0747698697358357,0.0936839396987688,0.0532645330385368,0.332750333537389,0.373404538927807,0.276688908562197,0.275262220394388,0.272921036275938,0.182080293168148,0.149490707278741,0.209368109581417,0.0859974200118947
"Parodiceras magnosellaris",0.0664407313765358,0.084174799954383,0.046755845720045,2.15603952355064,2.13150516875011,1.87525921928973,0.0653691066769142,0.0821780222730162,0.0468071059390467,0.312301321962963,0.350503266277199,0.262942779208725,0.268452736707972,0.266613425275914,0.186694250677265,0.161926950089737,0.212732982739481,0.111145198775074
"Agoniatites obliquus",0.0737814441536963,0.0913950793560286,0.05416425699946,2.12330160373349,2.10268966955187,1.89085488303955,0.0724870328527543,0.0897691972260012,0.0512542915538069,0.330630104608581,0.368274326716361,0.27712374166595,0.315972123107797,0.312436162639881,0.214347705308155,0.158784928586105,0.212545108593112,0.094045344545578
"Holzapfeloceras circumflexiferum",0.0787927438009675,0.0961566713574332,0.0593674501817378,2.14196732596553,2.12302785931448,1.92965202058664,0.0773336189157644,0.0947035015359667,0.0567690468693749,0.343833327457937,0.379280874537941,0.291025052277764,0.279401343367046,0.279401343367046,0.189873177911201,0.142095749005616,0.202161152466614,0.084356536866389
"Bensaidites koeneni",0.0692336719113308,0.109991029470851,0.0182163817622277,1.61866453853708,1.60813486961529,0.750882539368532,0.0623103047201978,0.097337506297408,0.0142095105658188,0.32015935344983,0.393908558059856,0.148456352994362,0.13805202799631,0.13805202799631,0.0201817020312279,0.272765385183636,0.392015887941434,0.14156112058663
"Sobolewia n sp",0.0683599645568912,0.105624442546072,0.0223141027489235,1.6684112356422,1.65693843189351,0.854690442875052,0.0621454223244466,0.0956670777514635,0.0194656729307553,0.320778320257669,0.391555701541908,0.169532022943954,0.153931839352789,0.153931839352789,0.0279463272843166,0.288029496393132,0.395677516536629,0.174782179048795
"Sellagoniatites waldschmidti",0.0973446416797651,0.124003422370508,0.0481289150986267,1.95370751245772,1.94293767863525,1.52140481623724,0.0919366060308893,0.118368380007717,0.0471574923876525,0.384217738840815,0.438215544188411,0.261591536497093,0.318957427947276,0.316820066779693,0.140736492958688,0.250302832044352,0.352942330496443,0.169351550982558
