"","SOV","SOV_upCI","SOV_loCI","SOR","SOR_upCI","SOR_loCI","Centroid_dist","upCI_cdist","loCI_cdist","Pairwise_dist","upCI_mID","loCI_mID","CH_Area_biozones","upCI_CHA_biozones","loCI_CHA_biozones","Position","upCI","loCI"
"Praechebbites debaetsi ",0.0181678245433984,NA,NA,0.51994448550029,NA,NA,0.164596933459182,NA,NA,0.683588399942803,NA,NA,0.00625551838366943,0.00625551838366943,0,4.25547827164369,NA,NA
"Erbenoceras advolvens - Metabactrites formosus",1.82449158525857,2.71961523156754,0.334888043803206,6.00209049191798,6.00209049191798,2.2615039098833,1.55127844427118,1.91207082177762,0.0907578154021036,1.79659564390237,1.98264581061282,0.368967103009408,0.453168235262613,0.453168235262613,0,4.07726587812447,4.44434291512874,3.83169884763817
"Anetoceras obliquecostatum",0.197907291600815,NA,NA,1.15831824399581,NA,NA,0.0945393910438579,NA,NA,0.614945171682347,NA,NA,0,0,0,4.54054613792513,NA,NA
"Klugites gesinae",4.66174020416484,5.10133342884385,0.100211760486445,8.89197039073634,8.89197039073634,1.30477482045899,2.64005934333568,4.04531745202791,0.413311093028949,2.17377844988602,2.61780777540765,0.759804023259663,0.775505287353823,0.775505287353823,0.00180692318649398,4.3759712536017,4.8020304274033,4.27358099362547
"Mimosphinctes karltschanzi - Mimagoniatites fecundus",3.64175807958855,4.64713747289284,1.72502267303794,11.1764001207388,11.1764001207388,7.42938739897924,4.71519491270743,5.84756380353553,2.67012009849412,2.7894271505091,2.98668079080497,1.95092016995571,3.04374130594594,3.04374130594594,1.01619237229111,3.48184322062969,4.08392616722372,2.96369871580425
"Gyroceratites gracilis",15.7457145974687,19.8686313680435,0.617873030850852,16.1170688560922,16.1170688560922,3.11630560270175,0.335965879583582,0.573801110369453,0.0534899378291727,0.782887864665454,0.959513204205309,0.25920257553969,1.31005199176653,1.31005199176653,0,4.26781634490102,6.30271536171096,3.72677826023647
"Latanarcestes noeggerathi",6.06000694199453,9.86716304083983,2.46921719389212,21.3217452256274,21.3217452256274,11.684633509886,3.09289868869016,4.00127259107577,2.03735798819611,2.21762114435235,2.47340972613143,1.75717603841276,20.5427228641133,20.5427228641133,7.53024277914471,1.10579257122509,1.82665141249825,0.594411645819507
"Sellanarcestes wenkenbachi",4.04700063196453,5.39439518606649,2.80428364189986,23.1461851301106,23.1461851301106,16.1844301235953,3.33144279874347,3.77436703560097,2.86285563779547,2.33874199496826,2.47839014394833,2.15800579185486,25.7923372312791,25.7312263763316,15.0047807823183,0.521902035491623,0.70515295684497,0.406078598833492
"Anarcestes lateseptatus 1",4.87859213716164,6.29236483002574,3.46091024944721,15.6231496639674,15.6163898869522,12.0478251486129,3.12661568731605,3.97930344187394,2.21439098612939,2.23329666124653,2.52985492419738,1.83241389424298,12.4342238170889,12.4248358820092,8.48536045232963,0.477716510329573,0.856438999799264,0.348169499690863
"Anarcestes lateseptatus 2",5.01035456376072,6.69298507195338,3.09516376596514,15.6231496639674,15.6163898869522,11.9233504757391,2.60063074410827,3.3449354867747,1.81018971565438,2.05090442866686,2.30939650218994,1.6839054504879,10.3350909358381,10.3219679718288,6.90850384534325,0.704366463772747,1.12998795347346,0.505111808672387
"Foordites veniens",5.08058189226535,6.53139936575654,3.484553389041,17.7678156987427,17.7678156987427,12.7124743872024,2.10739805514542,2.69497307193208,1.40645093691216,1.87550948457552,2.1094359006329,1.50874029740455,19.4705469229292,19.3220875690795,9.81764214192214,1.06413756029478,1.61923226651365,0.59110108220453
"Pinacites jugleri",4.69869309026323,5.54858273702356,3.60357394390163,16.2280198482107,16.2241085469893,12.4488626732056,2.79584863050514,3.44843300790942,2.06327985023627,2.14921588318977,2.36299470237849,1.84098385291613,12.8306681855804,12.8126955189762,8.37978439746635,0.892563944203808,1.37146642568987,0.561977915750311
"Subanarcestes macrocephalus",3.94573645461749,4.76199222131476,3.12040653720163,16.3561200034257,16.3543349598906,13.4535297881677,3.48617598499561,3.96547799005244,2.95202059731067,2.4265112659472,2.57396596177943,2.21885121041948,16.0282687724297,15.8504179132015,12.2027814570284,0.669963304492265,0.905584787622448,0.512327162504968
